# Référentiel — nomenclature des catégories d'établissements FINESS
# (domaine "categorie_etablissement", champ etablissement.code_categorie /
# entite_juridique.code_categorie du pivot ; source JSON FINESS :
# categorieentiteGeographiqueExercice).
#
# Source : DREES/DMSI, documentation FINESS.
#   Dataset data.gouv.fr « FINESS - Extraction des principales nomenclatures »
#   (producteur : Ministère chargé de la Santé) :
#   https://www.data.gouv.fr/datasets/finess-extraction-des-principales-nomenclatures/
#   Ressources utilisées :
#     - « Catégories ouvertes - Caractéristiques » (situation au 01-06-2021)
#       https://static.data.gouv.fr/resources/finess-extraction-des-principales-nomenclatures/20210625-130441/categories-ouvertes-caracteristiques.pdf
#     - « Catégories fermées » (situation au 08-06-2021)
#       https://static.data.gouv.fr/resources/finess-extraction-des-principales-nomenclatures/20210625-130947/categories-fermees.pdf
# Date d'extraction dans ce dépôt : 2026-08-18.
#
# Couverture : 274 codes (151 catégories ouvertes + 123 catégories fermées),
# sur les 300 valeurs distinctes de code_categorie observées dans un extrait
# réel FINESS-Structures (millésime 202607 ; cf.
# artefacts/01_INVENTAIRE_CODES_202607.csv, domaine categorie_etablissement).
# Les 40 codes non couverts (ex. la série 60x-65x apparue après 2021) ne sont
# pas devinés : ils restent absents du référentiel et sont donc signalés
# explicitement par nomenclatures.resoudre_categorie, jamais approximés.
# Le code 259 est volontairement omis : son libellé est tronqué en plein mot
# dans le document source ("...Pension de Fami"), à la différence des autres
# libellés de 60 caractères qui se terminent tous sur une frontière de mot ;
# faute de pouvoir vérifier la fin exacte, il n'est pas complété par hypothèse.
#
# Colonnes :
#   code            code catégorie FINESS, tel qu'émis par la source (aucun
#                   remplissage de zéros, aucune transformation).
#   libelle         libellé long officiel de la catégorie.
#   statut          "ouverte" si la catégorie est utilisable pour une nouvelle
#                   création à la date de la source, "fermee" sinon. Une
#                   catégorie fermée peut néanmoins subsister sur des
#                   établissements existants non encore requalifiés.
#   date_fermeture  date de fermeture de la catégorie (AAAA-MM-JJ), renseignée
#                   uniquement pour les catégories fermées.
code;libelle;statut;date_fermeture
207;Centre de Jour pour Personnes Agées;ouverte;
208;Service d'Aide Ménagère à Domicile;fermee;2018-03-07
209;Service Polyvalent Aide et Soins A Domicile (S.P.A.S.A.D.);ouverte;
212;Alarme Médico-Sociale;fermee;2018-03-07
213;Lits d'Accueil Médicalisés (L.A.M.);ouverte;
214;Centre Hébergement & Réinsertion Sociale (C.H.R.S.);ouverte;
215;Maison Relai;fermee;2008-06-26
216;Résidence Hôtelière à Vocation Sociale (R.H.V.S.);ouverte;
217;Cité de Transit;fermee;2001-07-31
219;Autre Centre d'Accueil;ouverte;
221;Bureau d'Aide Psychologique Universitaire (B.A.P.U.);ouverte;
223;Protection Maternelle et Infantile (P.M.I.);ouverte;
224;Etablissement de Consultation Pré et Post-natale;ouverte;
225;Consultations de Nourrissons;fermee;1994-09-19
228;Centre Planification ou Education Familiale;ouverte;
229;Consultation Problèmes naissance;fermee;1994-09-19
230;Etablissement Consultation Protection Infantile;ouverte;
231;Etablissement Information Consultation Conseil Familial;ouverte;
233;Lactarium;fermee;2015-03-04
236;Centre Placement Familial Socio-Educatif (C.P.F.S.E.);ouverte;
237;Centre de Placement Familial Spécialisé;fermee;2005-07-06
238;Centre d'Accueil Familial Spécialisé;ouverte;
241;Foyer d'Action Educative (F.A.E.);ouverte;
246;Etablissement et Service d'Aide par le Travail (E.S.A.T.);ouverte;
247;Entreprise adaptée;ouverte;
249;Etablissement et Service de Réadaptation Professionnelle;ouverte;
250;Centre Réentrainement au travail;fermee;1994-09-19
251;Maison Vacances pour Handicapés;fermee;1994-09-19
252;Foyer Hébergement Adultes Handicapés;ouverte;
253;Foyer d'Accueil Polyvalent pour Adultes Handicapés;ouverte;
255;Maison d'Accueil Spécialisée (M.A.S.);ouverte;
256;Foyer Travailleurs Migrants non transformé en Résidence Soc.;ouverte;
257;Foyer de Jeunes Travailleurs (résidence sociale ou non);ouverte;
258;Maisons Relais - Pensions de Famille;ouverte;
261;D.D.A.S.S.;fermee;1999-09-15
262;Etablissement Régional d'Enseignement Adapté;fermee;2005-06-09
265;Section Education Spéciale Classe Atelier;fermee;2005-06-09
266;Dispensaire Antivénérien;ouverte;
267;Dispensaire Antihansénien;ouverte;
268;Centre Médico-Scolaire;ouverte;
269;Centre de Médecine Universitaire;ouverte;
270;Centre de Médecine Sportive;ouverte;
271;Maisons d'accueil hospitalières (M.A.H.);ouverte;
272;Ecole d'ambulanciers;fermee;2005-11-14
273;Institut de formation en soins infirmiers (I.F.S.I.);fermee;2005-11-14
274;Ecole de sages_femmes;fermee;2005-11-14
275;Ecole de masseurs-kinésithérapeutes;fermee;2005-11-14
276;Ecole de laborantins d'analyses médicales;fermee;2005-11-14
277;Ecole de péricultrices;fermee;2005-11-14
278;Etablissement de formation polyvalent;fermee;2005-11-14
279;Ecole de service social;fermee;2005-11-14
280;Ecole d'éducateurs spécialisés;fermee;2005-11-14
281;Centre de formation d'aides soignants;fermee;2005-11-14
282;Ecole de pédicures-podologues;fermee;2005-11-14
283;Ecole de manipulateurs d'électro-radiologie;fermee;2005-11-14
284;Ecole de travailleuses familiales;fermee;2005-11-14
285;Centres de Loisirs sans Hébergement;fermee;2016-01-06
286;Club Equipe de Prévention;ouverte;
289;Centre de Soins Infirmiers;fermee;2013-12-19
292;Centre Hospitalier Spécialisé lutte Maladies Mentales;ouverte;
294;Centre de Consultations Cancer;ouverte;
295;Services AEMO et AED;ouverte;
297;Dispensaire Polyvalent;fermee;1992-01-01
300;Ecoles Formant aux Professions Sanitaires;ouverte;
303;Ecole de conseillers en économie sociale et familiale;fermee;2005-11-14
304;Ecole d'ergothérapeutes;fermee;2005-11-14
305;Ecole de psycho-motriciens;fermee;2005-11-14
306;Ecole d'infirmiers anesthésistes;fermee;2005-11-14
307;Ecole d'infirmiers de bloc opératoire;fermee;2005-11-14
308;Centre de formation professionnelle de secteur psychiatrique;fermee;2005-11-14
309;Ecole de cadres infirmiers;fermee;2005-11-14
310;Ecole de cadres de secteur psychiatrique;fermee;2005-11-14
